symbol,sector,weight
SAXPY,Financials,1.000000
SNY,Health Care,1.000000
SAP,Information Technology,1.000000
SBGSY,Industrials,1.000000
SE,Consumer Discretionary,1.000000
SOMLY,Industrials,1.000000
SVNDY,Consumer Staples,1.000000
STRNY,Utilities,1.000000
SGSOY,Industrials,1.000000
SMNNY,Consumer Discretionary,1.000000
SHECY,Materials,1.000000
SIEGY,Industrials,1.000000
SMERY,Industrials,1.000000
SXYAY,Materials,1.000000
SGAPY,Communication Services,1.000000
SPXCY,Financials,1.000000
SKBSY,Industrials,1.000000
SNN,Health Care,1.000000
SMGZY,Industrials,1.000000
SCGLY,Financials,1.000000
SFTBY,Communication Services,1.000000
SONY,Consumer Discretionary,1.000000
SFGYY,Financials,1.000000
SOUHY,Materials,1.000000
SPXSY,Industrials,1.000000
SCBFY,Financials,1.000000
STM,Information Technology,1.000000
SEOAY,Materials,1.000000
SAUHY,Health Care,1.000000
FUJHY,Consumer Discretionary,1.000000
SUBCY,Energy,1.000000
SSUMY,Industrials,1.000000
SMTOY,Consumer Discretionary,1.000000
SMFG,Financials,1.000000
SUTNY,Financials,1.000000
SUHJY,Real Estate,1.000000
SNMCY,Financials,1.000000
SVNLY,Financials,1.000000
SZKMY,Consumer Discretionary,1.000000
SWDBY,Financials,1.000000
SSREY,Financials,1.000000
SYIEY,Materials,1.000000
SSMXY,Health Care,1.000000
TTDKY,Information Technology,1.000000
TAK,Health Care,1.000000
TTNDY,Industrials,1.000000
TLTZY,Communication Services,1.000000
TLSNY,Communication Services,1.000000
TLX,Health Care,1.000000
TEZNY,Utilities,1.000000
TRUMY,Health Care,1.000000
TSCDY,Consumer Staples,1.000000
TEVA,Health Care,1.000000
THLLY,Industrials,1.000000
TGOPY,Financials,1.000000
TKOMY,Financials,1.000000
TOELY,Information Technology,1.000000
TRYIY,Materials,1.000000
TM,Consumer Discretionary,1.000000
TMICY,Information Technology,1.000000
UNCRY,Financials,1.000000
UL,Consumer Staples,1.000000
UOVEY,Financials,1.000000
UUGRY,Utilities,1.000000
VEOEY,Utilities,1.000000
VWDRY,Industrials,1.000000
VOD,Communication Services,1.000000
VLVLY,Industrials,1.000000
VONOY,Real Estate,1.000000
WEGRY,Industrials,1.000000
WFAFY,Consumer Discretionary,1.000000
WJRYY,Industrials,1.000000
WLMIY,Consumer Staples,1.000000
WTKWY,Industrials,1.000000
WDS,Energy,1.000000
YAHOY,Communication Services,1.000000
ZURVY,Financials,1.000000
